epoch,train_loss,train_acc,val_loss,val_acc,lr,secs,saved_best
1,0.3648,0.8314,0.1560,0.9365,0.0001,181,1
2,0.1489,0.9432,0.1119,0.9574,0.0001,180,1
3,0.0971,0.9640,0.0854,0.9649,0.0001,177,1
4,0.0776,0.9721,0.0699,0.9743,0.0001,183,1
5,0.0550,0.9809,0.0962,0.9662,0.0001,181,0
6,0.0466,0.9834,0.0835,0.9709,0.0001,178,0
7,0.0441,0.9836,0.0807,0.9682,0.0001,181,0
