epoch,train_loss,train_acc,val_loss,val_acc,lr,secs,saved_best
1,0.3218,0.8564,0.2149,0.9250,0.0001,174,1
2,0.1900,0.9224,0.1890,0.9284,0.0001,171,1
3,0.1419,0.9449,0.1719,0.9412,0.0001,182,1
4,0.1174,0.9541,0.2022,0.9331,0.0001,183,0
5,0.0987,0.9611,0.1614,0.9453,0.0001,196,1
6,0.0780,0.9696,0.2454,0.9250,0.0001,201,0
7,0.0778,0.9688,0.1969,0.9392,0.0001,181,0
8,0.0733,0.9729,0.2277,0.9331,0.0001,178,0
