epoch,train_loss,train_acc,val_loss,val_acc,lr,secs,saved_best
1,0.2700,0.8808,0.2269,0.9176,0.0001,175,1
2,0.1259,0.9512,0.1779,0.9297,0.0001,172,1
3,0.0779,0.9710,0.1464,0.9453,0.0001,176,1
4,0.0660,0.9750,0.1570,0.9419,0.0001,185,0
5,0.0471,0.9817,0.2147,0.9351,0.0001,196,0
6,0.0378,0.9867,0.1413,0.9554,0.0001,185,1
7,0.0376,0.9873,0.2066,0.9432,0.0001,180,0
8,0.0380,0.9863,0.1443,0.9581,0.0001,177,0
9,0.0368,0.9863,0.3001,0.9122,0.0001,171,0
